      ksamplingd-10035   [019] .....   900.684330: ksamplingd: nr_sampled: 6500000, nr_dram: 475175, nr_nvm: 24808, nr_write: 17, nr_throttled: 0 
      ksamplingd-10035   [019] .....   907.710285: ksamplingd: nr_sampled: 7000000, nr_dram: 249578, nr_nvm: 250418, nr_write: 4, nr_throttled: 0 
      ksamplingd-10035   [019] .....   917.056288: ksamplingd: nr_sampled: 7500000, nr_dram: 307306, nr_nvm: 192685, nr_write: 9, nr_throttled: 0 
      ksamplingd-12619   [081] .....  1120.984107: ksamplingd: nr_sampled: 500000, nr_dram: 497402, nr_nvm: 2573, nr_write: 25, nr_throttled: 0 
      ksamplingd-12619   [081] .....  1124.639534: ksamplingd: nr_sampled: 1000000, nr_dram: 499913, nr_nvm: 4, nr_write: 83, nr_throttled: 0 
      ksamplingd-12619   [081] .....  1128.297476: ksamplingd: nr_sampled: 1500000, nr_dram: 499921, nr_nvm: 4, nr_write: 75, nr_throttled: 0 
      ksamplingd-12619   [081] .....  1133.075611: ksamplingd: nr_sampled: 2000000, nr_dram: 498748, nr_nvm: 1222, nr_write: 30, nr_throttled: 0 
      ksamplingd-12619   [081] .....  1138.325084: ksamplingd: nr_sampled: 2500000, nr_dram: 499965, nr_nvm: 4, nr_write: 31, nr_throttled: 0 
      ksamplingd-12619   [081] .....  1143.575050: ksamplingd: nr_sampled: 3000000, nr_dram: 499968, nr_nvm: 5, nr_write: 27, nr_throttled: 0 
      ksamplingd-12619   [081] .....  1150.093858: ksamplingd: nr_sampled: 3500000, nr_dram: 94977, nr_nvm: 405020, nr_write: 3, nr_throttled: 0 
      ksamplingd-13718   [081] .....  1544.361745: ksamplingd: nr_sampled: 500000, nr_dram: 491731, nr_nvm: 44, nr_write: 8225, nr_throttled: 0 
      ksamplingd-13718   [087] .....  1545.826640: ksamplingd: nr_sampled: 1000000, nr_dram: 499968, nr_nvm: 16, nr_write: 16, nr_throttled: 0 
      ksamplingd-13718   [087] .....  1547.285123: ksamplingd: nr_sampled: 1500000, nr_dram: 499630, nr_nvm: 41, nr_write: 329, nr_throttled: 0 
      ksamplingd-13718   [087] .....  1548.739254: ksamplingd: nr_sampled: 2000000, nr_dram: 499984, nr_nvm: 12, nr_write: 4, nr_throttled: 0 
      ksamplingd-13718   [087] .....  1550.197075: ksamplingd: nr_sampled: 2500000, nr_dram: 499974, nr_nvm: 21, nr_write: 5, nr_throttled: 0 
      ksamplingd-13718   [081] .....  1551.651523: ksamplingd: nr_sampled: 3000000, nr_dram: 499911, nr_nvm: 17, nr_write: 72, nr_throttled: 0 
      ksamplingd-13718   [081] .....  1553.111871: ksamplingd: nr_sampled: 3500000, nr_dram: 499981, nr_nvm: 8, nr_write: 11, nr_throttled: 0 
      ksamplingd-13718   [081] .....  1554.566543: ksamplingd: nr_sampled: 4000000, nr_dram: 499977, nr_nvm: 17, nr_write: 6, nr_throttled: 0 
      ksamplingd-13718   [087] .....  1556.412580: ksamplingd: nr_sampled: 4500000, nr_dram: 499987, nr_nvm: 10, nr_write: 3, nr_throttled: 0 
      ksamplingd-13718   [087] .....  1558.446982: ksamplingd: nr_sampled: 5000000, nr_dram: 499991, nr_nvm: 8, nr_write: 1, nr_throttled: 0 
      ksamplingd-13718   [081] .....  1560.485632: ksamplingd: nr_sampled: 5500000, nr_dram: 499987, nr_nvm: 12, nr_write: 1, nr_throttled: 0 
      ksamplingd-13718   [081] .....  1562.529631: ksamplingd: nr_sampled: 6000000, nr_dram: 499962, nr_nvm: 15, nr_write: 23, nr_throttled: 0 
      ksamplingd-13718   [081] .....  1564.568112: ksamplingd: nr_sampled: 6500000, nr_dram: 499982, nr_nvm: 15, nr_write: 3, nr_throttled: 0 
      ksamplingd-13718   [081] .....  1566.605086: ksamplingd: nr_sampled: 7000000, nr_dram: 499981, nr_nvm: 14, nr_write: 5, nr_throttled: 0 
      ksamplingd-13718   [081] .....  1568.644201: ksamplingd: nr_sampled: 7500000, nr_dram: 499980, nr_nvm: 13, nr_write: 7, nr_throttled: 0 
      ksamplingd-13718   [081] .....  1570.878831: ksamplingd: nr_sampled: 8000000, nr_dram: 499983, nr_nvm: 14, nr_write: 3, nr_throttled: 0 
      ksamplingd-13718   [081] .....  1573.543671: ksamplingd: nr_sampled: 8500000, nr_dram: 499979, nr_nvm: 18, nr_write: 3, nr_throttled: 0 
      ksamplingd-14780   [019] .....  1855.937337: ksamplingd: nr_sampled: 500000, nr_dram: 498635, nr_nvm: 551, nr_write: 814, nr_throttled: 0 
      ksamplingd-14780   [019] .....  1857.394110: ksamplingd: nr_sampled: 1000000, nr_dram: 499804, nr_nvm: 126, nr_write: 70, nr_throttled: 0 
      ksamplingd-14780   [019] .....  1858.851890: ksamplingd: nr_sampled: 1500000, nr_dram: 498823, nr_nvm: 140, nr_write: 1037, nr_throttled: 0 
      ksamplingd-14780   [019] .....  1860.305351: ksamplingd: nr_sampled: 2000000, nr_dram: 499957, nr_nvm: 34, nr_write: 9, nr_throttled: 0 
      ksamplingd-14780   [019] .....  1861.763647: ksamplingd: nr_sampled: 2500000, nr_dram: 499943, nr_nvm: 42, nr_write: 15, nr_throttled: 0 
      ksamplingd-14780   [019] .....  1863.224574: ksamplingd: nr_sampled: 3000000, nr_dram: 499852, nr_nvm: 70, nr_write: 78, nr_throttled: 0 
      ksamplingd-14780   [019] .....  1864.678180: ksamplingd: nr_sampled: 3500000, nr_dram: 499932, nr_nvm: 52, nr_write: 16, nr_throttled: 0 
      ksamplingd-14780   [021] .....  1866.134444: ksamplingd: nr_sampled: 4000000, nr_dram: 499952, nr_nvm: 32, nr_write: 16, nr_throttled: 0 
      ksamplingd-14780   [019] .....  1867.986975: ksamplingd: nr_sampled: 4500000, nr_dram: 499930, nr_nvm: 65, nr_write: 5, nr_throttled: 0 
      ksamplingd-14780   [019] .....  1870.027884: ksamplingd: nr_sampled: 5000000, nr_dram: 499951, nr_nvm: 43, nr_write: 6, nr_throttled: 0 
      ksamplingd-14780   [019] .....  1872.066240: ksamplingd: nr_sampled: 5500000, nr_dram: 499963, nr_nvm: 33, nr_write: 4, nr_throttled: 0 
      ksamplingd-14780   [019] .....  1874.103697: ksamplingd: nr_sampled: 6000000, nr_dram: 499887, nr_nvm: 100, nr_write: 13, nr_throttled: 0 
      ksamplingd-14780   [019] .....  1876.145156: ksamplingd: nr_sampled: 6500000, nr_dram: 499517, nr_nvm: 128, nr_write: 355, nr_throttled: 0 
      ksamplingd-14780   [019] .....  1878.184365: ksamplingd: nr_sampled: 7000000, nr_dram: 499953, nr_nvm: 41, nr_write: 6, nr_throttled: 0 
      ksamplingd-14780   [021] .....  1880.219032: ksamplingd: nr_sampled: 7500000, nr_dram: 499929, nr_nvm: 63, nr_write: 8, nr_throttled: 0 
      ksamplingd-14780   [019] .....  1882.460289: ksamplingd: nr_sampled: 8000000, nr_dram: 499961, nr_nvm: 36, nr_write: 3, nr_throttled: 0 
      ksamplingd-14780   [019] .....  1885.125672: ksamplingd: nr_sampled: 8500000, nr_dram: 499926, nr_nvm: 61, nr_write: 13, nr_throttled: 0 
      ksamplingd-14780   [019] .....  1887.788406: ksamplingd: nr_sampled: 9000000, nr_dram: 499952, nr_nvm: 45, nr_write: 3, nr_throttled: 0 
      ksamplingd-14780   [019] .....  1890.452010: ksamplingd: nr_sampled: 9500000, nr_dram: 499896, nr_nvm: 84, nr_write: 20, nr_throttled: 0 
      ksamplingd-14780   [019] .....  1893.108686: ksamplingd: nr_sampled: 10000000, nr_dram: 499748, nr_nvm: 79, nr_write: 173, nr_throttled: 0 
      ksamplingd-14780   [019] .....  1895.776259: ksamplingd: nr_sampled: 10500000, nr_dram: 499953, nr_nvm: 41, nr_write: 6, nr_throttled: 0 
      ksamplingd-14780   [021] .....  1898.843793: ksamplingd: nr_sampled: 11000000, nr_dram: 499945, nr_nvm: 49, nr_write: 6, nr_throttled: 0 
      ksamplingd-14780   [019] .....  1902.093163: ksamplingd: nr_sampled: 11500000, nr_dram: 499954, nr_nvm: 43, nr_write: 3, nr_throttled: 0 
